entry_id,verify,repo_url,commit,field_path,old_file,old_line,old_desc,new_file,new_line,new_desc,strategy,desc_status,evidence
entry-00251,1,https://github.com/openclaw/openclaw,223d7dc23d73bdddd7d221d7ddbecafe5d03bfcb,trace[3],src/auto-reply/command-auth.ts,325,"senderCandidates.find iterates the tainted candidate list — including the conversation identifier pushed by pushCandidate — and checks each entry against commandsAllowFromList. Downstream from the unconditional push, this find call is where a conversation-shaped identifier can produce a non-null match, serving as the penultimate step before the authorization flag is set.",src/auto-reply/command-auth.ts,326,"senderCandidates.find iterates the tainted candidate list — including the conversation identifier pushed by pushCandidate — and checks each entry against commandsAllowFromList. Downstream from the unconditional push, this find call is where a conversation-shaped identifier can produce a non-null match, serving as the penultimate step before the authorization flag is set.",nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00300,1,https://github.com/openclaw/openclaw,fda49658183dc1afee48143f4de47dedc7590966,trace[0],src/auto-reply/reply/commands-config.ts,134,在 handleConfigCommand 函数体内，rejectUnauthorizedCommand 被以 params 和命令标签为参数调用，完成从 caller（处理器函数）流向 callee（门控函数）的第一段权限检查路径。返回值赋给 unauthorized 变量，用于决定是否提前中断请求；然而此门控仅覆盖 isAuthorizedSender 单一条件，是整条漏洞链路中唯一的校验节点，也是 senderIsOwner 校验缺失的关键位置。,src/auto-reply/reply/commands-config.ts,196,在 handleConfigCommand 函数体内，rejectUnauthorizedCommand 被以 params 和命令标签为参数调用，完成从 caller（处理器函数）流向 callee（门控函数）的第一段权限检查路径。返回值赋给 unauthorized 变量，用于决定是否提前中断请求；然而此门控仅覆盖 isAuthorizedSender 单一条件，是整条漏洞链路中唯一的校验节点，也是 senderIsOwner 校验缺失的关键位置。,same_file_unique,unchanged_needs_review,unique match in original file
entry-00312,1,https://github.com/openclaw/openclaw,ae1a1fccfeac598a747a9b4a6c9871c93061229c,critical_operation,src/infra/device-bootstrap.ts,125,"entry.roles = mergeRoles(entry.roles, role) 是角色权限写入的直接触发点，将外部传入的 role 参数无限制地追加至持久化 bootstrap 条目的角色集合。由于此前令牌未被消费，每次重放调用均可触达此处；role 字段的值由调用方完全控制，是权限提升漏洞链的最终汇聚节点。",src/infra/device-bootstrap.ts,128,"entry.roles = mergeRoles(entry.roles, role) 是角色权限写入的直接触发点，将外部传入的 role 参数无限制地追加至持久化 bootstrap 条目的角色集合。由于此前令牌未被消费，每次重放调用均可触达此处；role 字段的值由调用方完全控制，是权限提升漏洞链的最终汇聚节点。",nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00312,1,https://github.com/openclaw/openclaw,ae1a1fccfeac598a747a9b4a6c9871c93061229c,trace[4],src/infra/device-bootstrap.ts,125,mergeRoles 所在的写入区域在调用链中位于所有身份绑定校验通过之后、entry 字段批量更新序列的起点。执行流从上游的参数校验与令牌匹配段流向此处的字段写入段；token 未被消费使得重放请求同样能流经此节点，从而将外部控制的 role 值纳入累积写入范围。,src/infra/device-bootstrap.ts,128,mergeRoles 所在的写入区域在调用链中位于所有身份绑定校验通过之后、entry 字段批量更新序列的起点。执行流从上游的参数校验与令牌匹配段流向此处的字段写入段；token 未被消费使得重放请求同样能流经此节点，从而将外部控制的 role 值纳入累积写入范围。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00398,1,https://github.com/openclaw/openclaw,55cd272fe1a6822ec9be91022a257f195fe1639a,trace[5],src/auto-reply/reply/directive-handling.impl.ts,413-421,在调用栈最下游，已被修改的 sessionEntry 先经 sessionStore[sessionKey] = sessionEntry 写入内存存储，随后若 storePath 存在，再通过 updateSessionStore 写入磁盘持久化存储。这一步是从内存变更 caller 流向持久化 callee 的最终一段，使 verbose 配置覆盖跨会话生效；持久化能够发生，根本原因在于上游 shouldPersistSessionEntry 对 verbose 分支未施加 scope 校验，导致写权限 operator 的修改与管理员专属的 sessions.patch 路径产生等效效果。,src/auto-reply/reply/directive-handling.impl.ts,407-413,在调用栈最下游，已被修改的 sessionEntry 先经 sessionStore[sessionKey] = sessionEntry 写入内存存储，随后若 storePath 存在，再通过 updateSessionStore 写入磁盘持久化存储。这一步是从内存变更 caller 流向持久化 callee 的最终一段，使 verbose 配置覆盖跨会话生效；持久化能够发生，根本原因在于上游 shouldPersistSessionEntry 对 verbose 分支未施加 scope 校验，导致写权限 operator 的修改与管理员专属的 sessions.patch 路径产生等效效果。,same_file_unique,unchanged_needs_review,unique match in original file
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,entry_point,src/node-host/invoke-system-run.ts,619,handleSystemRunInvoke 作为 Node host 侧处理 system-run 请求的入口函数，依次调用 parseSystemRunPhase 完成阶段解析，再进入 evaluateSystemRunPolicyPhase 执行策略评估；在漏洞链路中，此处是 allow-always allowlist 写入路径的最上游调用起点，parsed 对象携带后续 allowlist 持久化所需的 segments、agentId 等执行上下文。,src/node-host/invoke-system-run.ts,614-624,handleSystemRunInvoke 作为 Node host 侧处理 system-run 请求的入口函数，依次调用 parseSystemRunPhase 完成阶段解析，再进入 evaluateSystemRunPolicyPhase 执行策略评估；在漏洞链路中，此处是 allow-always allowlist 写入路径的最上游调用起点，parsed 对象携带后续 allowlist 持久化所需的 segments、agentId 等执行上下文。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,critical_operation,src/infra/exec-approvals-allowlist.ts,458,resolveShellWrapperPositionalArgvCandidatePath 经 isDirectShellPositionalCarrierInvocation 验证命令形态后，从 argv 中截取位置参数并查找首个非空 token 赋值给 carriedExecutable；该函数仅校验调用模式是否为 shell 位置载体调用，未进一步判断所提取的 carriedExecutable 是否本身属于 dispatch wrapper 或 shell wrapper，从而将 wrapper 绝对路径原样返回给调用方。,src/infra/exec-approvals-allowlist.ts,453-463,resolveShellWrapperPositionalArgvCandidatePath 经 isDirectShellPositionalCarrierInvocation 验证命令形态后，从 argv 中截取位置参数并查找首个非空 token 赋值给 carriedExecutable；该函数仅校验调用模式是否为 shell 位置载体调用，未进一步判断所提取的 carriedExecutable 是否本身属于 dispatch wrapper 或 shell wrapper，从而将 wrapper 绝对路径原样返回给调用方。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,trace[0],src/node-host/invoke-system-run.ts,547,此分支在 handleSystemRunInvoke 的策略执行阶段检查 phase.policy.approvalDecision 为 allow-always、phase.security 为 allowlist 且 phase.inlineEvalHit 为 null 三个条件同时成立时，将控制流导向 allowlist 持久化逻辑；在漏洞链路中，满足该条件即触发后续 resolveAllowAlwaysPatterns 调用，进入存在缺陷的 pattern 收集路径。,src/node-host/invoke-system-run.ts,542-552,此分支在 handleSystemRunInvoke 的策略执行阶段检查 phase.policy.approvalDecision 为 allow-always、phase.security 为 allowlist 且 phase.inlineEvalHit 为 null 三个条件同时成立时，将控制流导向 allowlist 持久化逻辑；在漏洞链路中，满足该条件即触发后续 resolveAllowAlwaysPatterns 调用，进入存在缺陷的 pattern 收集路径。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,trace[1],src/node-host/invoke-system-run.ts,559,随后此段代码以 phase.segments、phase.cwd、phase.env 及 process.platform 为参数调用 resolveAllowAlwaysPatterns，并对返回的 patterns 数组逐项执行 addAllowlistEntry，将每条 pattern 与 phase.agentId 关联写入 phase.approvals.file；在漏洞链路中，resolveAllowAlwaysPatterns 若返回携带 wrapper 路径的 pattern，此处将不加过滤地直接持久化，是 wrapper 路径落地的直接写入点。,src/node-host/invoke-system-run.ts,554-564,随后此段代码以 phase.segments、phase.cwd、phase.env 及 process.platform 为参数调用 resolveAllowAlwaysPatterns，并对返回的 patterns 数组逐项执行 addAllowlistEntry，将每条 pattern 与 phase.agentId 关联写入 phase.approvals.file；在漏洞链路中，resolveAllowAlwaysPatterns 若返回携带 wrapper 路径的 pattern，此处将不加过滤地直接持久化，是 wrapper 路径落地的直接写入点。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,trace[2],src/infra/exec-approvals-allowlist.ts,567,在调用栈下游，resolveAllowAlwaysPatterns 接收 segments、cwd、env、platform 参数，遍历每个 ExecCommandSegment 依次调用 collectAllowAlwaysPatterns，将各 segment 产出的 pattern 汇聚后返回；作为漏洞链路的汇聚节点，此函数将 wrapper 路径与正常可执行路径混入同一返回集合，上游调用方无法从返回值中区分两者。,src/infra/exec-approvals-allowlist.ts,562-572,在调用栈下游，resolveAllowAlwaysPatterns 接收 segments、cwd、env、platform 参数，遍历每个 ExecCommandSegment 依次调用 collectAllowAlwaysPatterns，将各 segment 产出的 pattern 汇聚后返回；作为漏洞链路的汇聚节点，此函数将 wrapper 路径与正常可执行路径混入同一返回集合，上游调用方无法从返回值中区分两者。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,trace[3],src/infra/exec-approvals-allowlist.ts,520,随后 collectAllowAlwaysPatterns 在 trustPlan.shellWrapperExecutable 存在时，调用 resolveShellWrapperPositionalArgvCandidatePath 并将非空的 positionalArgvPath 直接通过 params.out.add 加入输出集合；此处是漏洞的直接触发点，缺少对 positionalArgvPath 是否为 dispatch wrapper 或 shell wrapper 的拒绝检查，导致 wrapper 绝对路径被无条件纳入 pattern 集合。,src/infra/exec-approvals-allowlist.ts,515-525,随后 collectAllowAlwaysPatterns 在 trustPlan.shellWrapperExecutable 存在时，调用 resolveShellWrapperPositionalArgvCandidatePath 并将非空的 positionalArgvPath 直接通过 params.out.add 加入输出集合；此处是漏洞的直接触发点，缺少对 positionalArgvPath 是否为 dispatch wrapper 或 shell wrapper 的拒绝检查，导致 wrapper 绝对路径被无条件纳入 pattern 集合。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
entry-00405,1,https://github.com/openclaw/openclaw,7ce2670043dbb29aa18cb123c04be4b5097b16cb,trace[4],src/infra/exec-approvals.ts,364,saveExecApprovals 调用 resolveExecApprovalsPath 定位文件路径并通过 ensureDir 确保目录存在，随后以 JSON.stringify 序列化 file 对象并经 fs.writeFileSync 以 0o600 权限写入磁盘，再通过 fs.chmodSync 二次确认权限；在漏洞链路末端，此函数将包含错误 wrapper 路径的 ExecApprovalsFile 结构持久化，使不正确的 allowlist 条目在进程重启后依然有效。,src/infra/exec-approvals.ts,359-369,saveExecApprovals 调用 resolveExecApprovalsPath 定位文件路径并通过 ensureDir 确保目录存在，随后以 JSON.stringify 序列化 file 对象并经 fs.writeFileSync 以 0o600 权限写入磁盘，再通过 fs.chmodSync 二次确认权限；在漏洞链路末端，此函数将包含错误 wrapper 路径的 ExecApprovalsFile 结构持久化，使不正确的 allowlist 条目在进程重启后依然有效。,nearby_plus_minus_5,unchanged_needs_review,unique match within +/-5 lines
