entry_id,node,action,old_index,new_index,old_file,old_line,old_code,new_file,new_line,new_code,desc_change,reason
entry-00511,entry_point,replace,,,packages/workflow/src/expression.ts,485,"data.extend = extend;",packages/workflow/src/expression.ts,451-455,"resolveSimpleParameterValue(parameterValue: NodeParameterValue, data: IWorkflowDataProxyData, returnObjectAsString = false,","yes","原始位置是 helper 装配点，不能体现用户输入进入；改为 workflow 节点参数表达式 parameterValue 进入求值流程的外部可达入口。"
entry-00511,critical_operation,replace,,,packages/@n8n/expression-runtime/src/extensions/extend.ts,82-84,"if (inputAny && functionName && typeof inputAny[functionName] === 'function') { ... return { type: 'native', function: inputAny[functionName] };",packages/@n8n/expression-runtime/src/extensions/extend.ts,132-134,"if (foundFunction.type === 'native') { ... return foundFunction.function.apply(input, args);","yes","原始位置是危险属性解析点但尚未执行；改为 native 分支实际调用解析出的函数的位置，能体现 Function 构造器被用户可控 args 调用。"
entry-00511,trace,replace,trace[0],trace[0],packages/workflow/src/expression.ts,484-492,"data.extend = extend; data.extendOptional = extendOptional; Object.defineProperty(data, sanitizerName, ...)",packages/workflow/src/expression.ts,451-455,"resolveSimpleParameterValue(parameterValue: NodeParameterValue, data: IWorkflowDataProxyData, returnObjectAsString = false,","yes","删除宿主侧 helper 装配和 sanitizer 保护混合节点，改为用户参数进入点。"
entry-00511,trace,add,无,trace[1],无,无,无,packages/workflow/src/expression.ts,465,"parameterValue = parameterValue.substr(1);","yes","新增表达式前缀去除节点，说明用户控制表达式主体如何继续向下游传播。"
entry-00511,trace,update_desc,trace[1],trace[2],packages/workflow/src/expression.ts,496-503,"const constructorValidation = new RegExp(/\\.\\s*constructor/gm); if (parameterValue.match(constructorValidation)) { ... }",packages/workflow/src/expression.ts,496-503,"const constructorValidation = new RegExp(/\\.\\s*constructor/gm); if (parameterValue.match(constructorValidation)) { ... }","yes","保留文本检查节点，但描述改为聚焦 extend 参数形式绕过 .constructor 正则，而非泛化为 downstream guard。"
entry-00511,trace,delete,trace[2],无,packages/workflow/src/expression-sandboxing.ts,137,"export const ThisSanitizer: ASTBeforeHook = (ast, dataNode) => {",无,无,无,"yes","ThisSanitizer 处理 this 绑定，不承载 constructor 作为 extend 参数进入 native fallback 的关键数据流。"
entry-00511,trace,add,无,trace[3],无,无,无,packages/workflow/src/expression.ts,506-507,"const extendedExpression = extendSyntax(parameterValue); const returnValue = this.renderExpression(extendedExpression, data);","yes","新增 extendSyntax 到 renderExpression 的桥接节点，说明扩展语法如何进入求值包装层。"
entry-00511,trace,add,无,trace[4],无,无,无,packages/workflow/src/expression.ts,534-536,"const result = Expression.vmEvaluator.evaluate(expression, data, { timezone: this.timezone });","yes","新增 VM evaluator 调用点，补全宿主层表达式求值到 expression-runtime 的控制流。"
entry-00511,trace,add,无,trace[5],无,无,无,packages/@n8n/expression-runtime/src/evaluator/expression-evaluator.ts,36-38,"const result = this.config.bridge.execute(transformedCode, data, { timezone: options?.timezone });","yes","新增 bridge.execute 节点，说明转换后的表达式进入 isolated-vm 执行环境。"
entry-00511,trace,update_desc,trace[3],trace[6],packages/@n8n/expression-runtime/src/runtime/reset.ts,167-168,"globalThis.__data.extend = extend; globalThis.__data.extendOptional = extendOptional;",packages/@n8n/expression-runtime/src/runtime/reset.ts,167-168,"globalThis.__data.extend = extend; globalThis.__data.extendOptional = extendOptional;","yes","保留 isolate 内 helper 暴露节点，但删除将其描述为入口点的语义；它是 VM 内解析 extend(...) 的可达性节点。"
entry-00511,trace,update_desc,trace[4],trace[7],packages/@n8n/expression-runtime/src/extensions/extend.ts,105-106,"export function extend(input: unknown, functionName: string, args: unknown[]) { const foundFunction = findExtendedFunction(input, functionName);",packages/@n8n/expression-runtime/src/extensions/extend.ts,105-106,"export function extend(input: unknown, functionName: string, args: unknown[]) { const foundFunction = findExtendedFunction(input, functionName);","yes","保留运行时入口边界，描述收敛为 functionName 进入分发逻辑。"
entry-00511,trace,update_desc,trace[5],trace[8],packages/@n8n/expression-runtime/src/extensions/extend.ts,79-85,"const inputAny: any = input; ... return { type: 'native', function: inputAny[functionName] };",packages/@n8n/expression-runtime/src/extensions/extend.ts,79-85,"const inputAny: any = input; ... return { type: 'native', function: inputAny[functionName] };","yes","保留原 critical 位置作为关键解析节点，说明其未过滤 constructor 并可返回 Function 构造器。"
entry-00511,trace,add,无,trace[9],无,无,无,packages/@n8n/expression-runtime/src/extensions/extend.ts,132-134,"if (foundFunction.type === 'native') { ... return foundFunction.function.apply(input, args);","yes","新增最终 native 函数调用节点，使 trace 末端与新的 critical_operation 对齐。"
