entry_id,field_path,old_file,old_line,old_code,old_desc,new_file,new_line,new_code,new_desc,reason
entry-00185,entry_point,packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts,46,"				default: false,",append 选项在 Write 节点属性定义中声明默认值为 false，意味着节点执行时默认采用覆盖写而非追加写模式。此配置声明是漏洞链的入口：无需用户修改任何参数，覆盖写行为即自动生效，为将 .git/config 完整替换为恶意 Git 配置提供了条件，后续路径校验的缺失则使该写入得以实际落地。,packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts,70,"			fileName = this.getNodeParameter('fileName', itemIndex) as string;",ReadWriteFile ??????? getNodeParameter ???????????? fileName?????????? .git/config ???????????????????????????????????? append ??????????,??? append ????????? fileName ?????
entry-00185,critical_operation,packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,48,},resolvePath() 函数的闭合括号标志着路径规范化流程在此处完成并向调用方返回结果。该函数仅负责路径解析与规范化，不对 .git 目录做任何拦截；因此当 isFilePathBlocked() 已放行目标路径后，resolvePath() 在此处将规范化完毕的 .git/config 绝对路径无障碍地输送至 writeContentToFile，成为恶意内容写入磁盘的最终通道。,packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts,128-131,"		return await fsWriteFile(resolvedFilePath, content, {
			encoding: 'binary',
			flag: (flag ?? 0) | constants.O_NOFOLLOW,
		});",writeContentToFile ?????????? fsWriteFile???????????? resolvedFilePath?isFilePathBlocked ??? n8n ??/?????????? .git ??????????? .git/config ???????? git ??????????????,???? resolvePath ???????? fsWriteFile ???
entry-00185,trace,,,"[{""code"": ""\t\t\t\tdefault: false,"", ""desc"": ""追踪链从 Write 节点属性配置层切入，append 选项在此处声明默认值 false，确立覆盖写语义作为节点执行的起始约束。该声明作为 caller 侧的静态配置参数，向下游的 execute 执行循环传递覆盖方式写入的行为语义，是后续 itemIndex 循环与路径解析步骤得以以覆盖模式运行的前提。"", ""file"": ""packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts"", ""line"": 46}, {""code"": ""\n\t\t\titem = items[itemIndex];\n\n\t\t\tconst newItem: INodeExecutionData = {\n\t\t\t\tjson: {},\n\t\t\t\tpairedItem: {\n\t\t\t\t\titem: itemIndex,\n\t\t\t\t},"", ""desc"": ""append 默认值确立后，execute 循环在此从 items[itemIndex] 取出当前工作流数据项，并初始化 newItem 以承载输出。此块是从 Write 节点 execute 调用层向实际写入逻辑传递控制流的关键段：item 数据（含用户指定的目标路径与文件内容）在此被提取并就绪，随即流向 writeContentToFile 及其上游的路径安全校验调用链。"", ""file"": ""packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts"", ""line"": ""75-82""}, {""code"": ""\treturn false;"", ""desc"": ""控制流进入 isFilePathBlocked() 后，由于不存在针对 .git 路径的阻断规则，函数内部的所有阻断条件均未命中，执行流直接到达此 return false 语句，向调用方声明目标路径未被阻断。这是漏洞链中关键的放行点：.git/config 路径在此未受任何拦截便被标记为合法，控制流随即返回上层，进入 resolvePath() 的规范化与返回阶段。"", ""file"": ""packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts"", ""line"": 65}, {""code"": ""}"", ""desc"": ""承接 isFilePathBlocked() 返回 false 的放行信号，resolvePath() 完成路径规范化并在此闭合括号处退出，将已解析的 .git/config 绝对路径作为返回值交回 writeContentToFile 的调用上下文。至此路径既已规范化又未受任何安全过滤，随即被直接写入磁盘，完成恶意 Git 配置的植入。"", ""file"": ""packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts"", ""line"": 48}]",,,,"[{""file"": ""packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts"", ""line"": 70, ""code"": ""\t\t\tfileName = this.getNodeParameter('fileName', itemIndex) as string;"", ""desc"": ""????? fileName ??????????.git/config ??????????????????""}, {""file"": ""packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts"", ""line"": ""71-74"", ""code"": ""\t\t\tconst options = this.getNodeParameter('options', itemIndex, {});\n\t\t\tconst flag: number = options.append\n\t\t\t\t? constants.O_APPEND\n\t\t\t\t: constants.O_WRONLY | constants.O_CREAT | constants.O_TRUNC;"", ""desc"": ""options.append ???? flag???? append ??? O_TRUNC ????????? .git/config ?????""}, {""file"": ""packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts"", ""line"": ""86-92"", ""code"": ""\t\t\tconst binaryData = this.helpers.assertBinaryData(itemIndex, dataPropertyName);\n\n\t\t\tlet fileContent: Buffer | Readable;\n\t\t\tif (binaryData.id) {\n\t\t\t\tfileContent = await this.helpers.getBinaryStream(binaryData.id);\n\t\t\t} else {\n\t\t\t\tfileContent = Buffer.from(binaryData.data, BINARY_ENCODING);"", ""desc"": ""????? binary ??????????? Git ????????? fileContent ???????????""}, {""file"": ""packages/nodes-base/nodes/Files/ReadWriteFile/actions/write.operation.ts"", ""line"": ""95-100"", ""code"": ""\t\t\t// Write the file to disk\n\t\t\tawait this.helpers.writeContentToFile(\n\t\t\t\tawait this.helpers.resolvePath(fileName),\n\t\t\t\tfileContent,\n\t\t\t\tflag,\n\t\t\t);"", ""desc"": ""????? resolvePath(fileName) ????????fileContent ? flag ?? writeContentToFile????????????? helper ??????""}, {""file"": ""packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts"", ""line"": ""39-45"", ""code"": ""async function resolvePath(path: PathLike): Promise<ResolvedFilePath> {\n\ttry {\n\t\treturn (await fsRealpath(path)) as ResolvedFilePath; // apply brand, since we know it's resolved now\n\t} catch (error: unknown) {\n\t\tif (error instanceof Error && 'code' in error && error.code === 'ENOENT') {\n\t\t\treturn resolve(path.toString()) as ResolvedFilePath; // apply brand, since we know it's resolved now\n\t\t}"", ""desc"": ""resolvePath ??????? realpath?????????? path.resolve????????????? .git ?????""}, {""file"": ""packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts"", ""line"": ""50-65"", ""code"": ""function isFilePathBlocked(resolvedFilePath: ResolvedFilePath): boolean {\n\tconst allowedPaths = getAllowedPaths();\n\tconst blockFileAccessToN8nFiles = process.env[BLOCK_FILE_ACCESS_TO_N8N_FILES] !== 'false';\n\n\tconst restrictedPaths = blockFileAccessToN8nFiles ? getN8nRestrictedPaths() : [];\n\tif (\n\t\trestrictedPaths.some((restrictedPath) => isContainedWithin(restrictedPath, resolvedFilePath))\n\t) {\n\t\treturn true;\n\t}\n\n\tif (allowedPaths.length) {\n\t\treturn !allowedPaths.some((allowedPath) => isContainedWithin(allowedPath, resolvedFilePath));\n\t}\n\n\treturn false;"", ""desc"": ""isFilePathBlocked ??????? allowedPaths????????????????? .git/config???????????????""}, {""file"": ""packages/core/src/execution-engine/node-execution-context/utils/file-system-helper-functions.ts"", ""line"": ""128-131"", ""code"": ""\t\treturn await fsWriteFile(resolvedFilePath, content, {\n\t\t\tencoding: 'binary',\n\t\t\tflag: (flag ?? 0) | constants.O_NOFOLLOW,\n\t\t});"", ""desc"": ""?? fsWriteFile ? O_NOFOLLOW ?? resolvedFilePath?????????????????????? .git/config ???""}]",,?? fileName/content/flag/????/??????????????????
entry-00197,entry_point,src/media/server.ts,35-36,"  app.get(""/media/:id"", async (req, res) => {
    const id = req.params.id;","app.get('/media/:id', ...) registers the Express route for media retrieval; req.params.id captures the caller-supplied URL segment and binds it to id. This handler is the top of the call chain leading to the sandbox check and the subsequent unguarded file read, making id the externally-controlled taint source that traverses the TOCTOU-vulnerable flow.",src/media/server.ts,35-36,"  app.get(""/media/:id"", async (req, res) => {
    const id = req.params.id;",GET /media/:id ??????? HTTP ???req.params.id ?????????????? media ?????????????? media ????????????????????????????????????????,?? HTTP ???? desc ???????????
entry-00197,critical_operation,src/media/server.ts,57,      const data = await handle.readFile();,"handle.readFile() reads the full content of the file opened earlier by openFileWithinRoot. This is the use phase of the TOCTOU pair: without re-validating the sandbox boundary at read time, a symlink substituted between the check step and this call redirects the read to an arbitrary file outside the sandbox root, delivering its contents to the HTTP response.",src/media/server.ts,57,      const data = await handle.readFile();,handle.readFile() ??????? use ??????????????????????????????????????????/????????????????????????,?? handle.readFile use ????? desc ?? TOCTOU?
entry-00197,trace,,,"[{""code"": ""  app.get(\""/media/:id\"", async (req, res) => {\n    const id = req.params.id;"", ""desc"": ""app.get('/media/:id', ...) is the starting node of the traced call chain; req.params.id extracts the URL path parameter and assigns it to id, which will be carried as potentially-malicious input through each subsequent step. From the caller's perspective, this is the outermost HTTP frame that dispatches control to the validation and file-open logic downstream."", ""file"": ""src/media/server.ts"", ""line"": ""35-36""}, {""code"": ""    if (!isValidMediaId(id)) {"", ""desc"": ""isValidMediaId(id) performs a syntactic check on the caller-supplied identifier, rejecting values that do not match the expected media ID format. This guard filters malformed input but does not enforce sandbox-boundary constraints; a path that passes format validation can still be a symlink that escapes the sandbox root after openFileWithinRoot performs its downstream realpath check."", ""file"": ""src/media/server.ts"", ""line"": 37}, {""code"": ""      const { handle, realPath, stat } = await openFileWithinRoot({\n        rootDir: mediaDir,\n        relativePath: id,"", ""desc"": ""openFileWithinRoot({rootDir: mediaDir, relativePath: id}) resolves id within mediaDir, validates the sandbox boundary, and returns handle, realPath, and stat. This constitutes the check phase of the TOCTOU pair; the boundary assertion is made at open time, yet if a symlink replaces the target before handle.readFile() is invoked, that check-time guarantee is no longer binding at use time."", ""file"": ""src/media/server.ts"", ""line"": ""42-44""}, {""code"": ""      if (stat.size > MAX_MEDIA_BYTES) {\n        await handle.close().catch(() => {});\n        res.status(413).send(\""too large\"");\n        return;"", ""desc"": ""stat.size > MAX_MEDIA_BYTES compares the file size captured at openFileWithinRoot call time and returns HTTP 413 if the limit is exceeded, closing the handle before returning. This guard operates on the already-snapshotted stat and does not re-examine the filesystem; its presence does not close the time window between the earlier path check and the downstream handle.readFile()."", ""file"": ""src/media/server.ts"", ""line"": ""46-49""}, {""code"": ""      if (Date.now() - stat.mtimeMs > ttlMs) {\n        await handle.close().catch(() => {});\n        await fs.rm(realPath).catch(() => {});\n        res.status(410).send(\""expired\"");\n        return;"", ""desc"": ""Date.now() - stat.mtimeMs > ttlMs compares file modification time against the configured TTL; if expired, the handle is closed and realPath is deleted. Positioned between the check phase and the final read, this block widens the exploitable time window, and neither fs.rm(realPath) nor the downstream handle.readFile() re-validates the sandbox boundary."", ""file"": ""src/media/server.ts"", ""line"": ""51-55""}, {""code"": ""      const data = await handle.readFile();"", ""desc"": ""handle.readFile() is the terminal node in the call chain descending from the route handler, executing the actual byte read on the file opened by openFileWithinRoot. As the use phase of the TOCTOU pair, it completes the vulnerable window: a symlink placed between the upstream boundary check and this call will cause the read to return contents of a file outside the sandbox root."", ""file"": ""src/media/server.ts"", ""line"": 57}]",,,,"[{""file"": ""src/media/server.ts"", ""line"": ""35-36"", ""code"": ""  app.get(\""/media/:id\"", async (req, res) => {\n    const id = req.params.id;"", ""desc"": ""?????? /media/:id ?????id ???????? media ?????""}, {""file"": ""src/media/server.ts"", ""line"": 37, ""code"": ""    if (!isValidMediaId(id)) {"", ""desc"": ""isValidMediaId ??????????????????????????? sandboxRoot ??""}, {""file"": ""src/media/server.ts"", ""line"": ""42-45"", ""code"": ""      const { handle, realPath, stat } = await openFileWithinRoot({\n        rootDir: mediaDir,\n        relativePath: id,\n      });"", ""desc"": ""openFileWithinRoot ?? mediaDir ? id ????/?????? TOCTOU ? check ?????""}, {""file"": ""src/infra/fs-safe.ts"", ""line"": ""133-142"", ""code"": ""  const rootWithSep = ensureTrailingSep(rootReal);\n  const expanded = await expandRelativePathWithHome(params.relativePath);\n  const resolved = path.resolve(rootWithSep, expanded);\n  if (!isPathInside(rootWithSep, resolved)) {\n    throw new SafeOpenError(\""outside-workspace\"", \""file is outside workspace root\"");\n  }\n\n  let opened: SafeOpenResult;\n  try {\n    opened = await openVerifiedLocalFile(resolved);"", ""desc"": ""openFileWithinRoot ? relativePath ??? root ???? openVerifiedLocalFile???????????????????""}, {""file"": ""src/infra/fs-safe.ts"", ""line"": ""160-165"", ""code"": ""  if (!isPathInside(rootWithSep, opened.realPath)) {\n    await opened.handle.close().catch(() => {});\n    throw new SafeOpenError(\""outside-workspace\"", \""file is outside workspace root\"");\n  }\n\n  return opened;"", ""desc"": ""???????? opened.realPath ?? root ???? handle?realPath?stat???????????????????""}, {""file"": ""src/media/server.ts"", ""line"": 57, ""code"": ""      const data = await handle.readFile();"", ""desc"": ""handle.readFile() ? use ????????????/????????????????????????????""}]",,?? size/TTL ????????? openFileWithinRoot ? check ???
entry-00290,entry_point,src/agents/apply-patch.ts,94,"    execute: async (_toolCallId, args, signal) => {",execute 是 apply_patch 工具的异步调用入口，负责接收 AI Agent 下发的工具调用参数并启动整条 patch 应用流程。在漏洞链路中，此函数是攻击路径的起点：携带悬空符号链接目标路径的 patch 参数由此处进入后续处理管道，尚未经过任何路径合规性筛查。,src/agents/apply-patch.ts,94,"    execute: async (_toolCallId, args, signal) => {",apply_patch ??? execute ???? Agent ??? patch input?????? patch hunk ????????????????????????? workspace-only ??????,?? apply_patch ??????? desc ?? hunk path ???
entry-00290,critical_operation,src/infra/boundary-path.ts,196,    const linkCanonical = await resolveSymlinkHopPath(lexicalCursor);,resolveSymlinkHopPath 在接收 lexicalCursor 后调用 fs.realpath 尝试解析符号链接真实目标；当目标路径不存在时 realpath 抛出 ENOENT，函数通过 readlink 重建词法路径并以符号链接自身位置填充 linkCanonical，而非返回错误拒绝请求。linkCanonical 的词法路径仍在沙箱内，随即传入 isPathInside 导致边界检查误判为通过，构成 fail-open 沙箱逃逸的关键触发点。,src/agents/apply-patch.ts,240,"    writeFile: (filePath, content) => fs.writeFile(filePath, content, ""utf8""),","? sandbox bridge ?????? fs.writeFile(filePath, content, ""utf8"") ??????????????????????????????????????????????????????????????",?????????????? fs.writeFile ?????
entry-00290,trace,,,"[{""code"": ""    execute: async (_toolCallId, args, signal) => {"", ""desc"": ""execute 作为 apply_patch 工具调用链的第一个执行节点，在此处接收来自 Agent 的 args 对象并向下传递，是从 AI Agent 工具调用到 patch 文件写入的调用链头部。携带悬空符号链接路径的 patch 参数从此节点开始流经整条漏洞调用栈，尚无任何沙箱边界过滤介入。"", ""file"": ""src/agents/apply-patch.ts"", ""line"": 94}, {""code"": ""      const result = await applyPatch(input, {"", ""desc"": ""随后，execute 在第 106 行将 input 与 options 传入 applyPatch，进入 patch 内容解析与逐 hunk 文件操作编排阶段。applyPatch 在漏洞链路中承担路径解析的调度职责，对每个 hunk 依次触发 resolvePatchPath，构成从工具入口向沙箱校验层传递路径数据的中间节点。"", ""file"": ""src/agents/apply-patch.ts"", ""line"": 106}, {""code"": ""      const target = await resolvePatchPath(hunk.path, options);"", ""desc"": ""在调用栈下游，applyPatch 在第 150 行对当前 hunk 调用 resolvePatchPath，以 hunk.path 为输入将 patch 内的路径映射为绝对目标路径并赋给 target。resolvePatchPath 是悬空符号链接路径进入沙箱校验管道的传递节点，target 的值随即被送往后续的边界断言分支。"", ""file"": ""src/agents/apply-patch.ts"", ""line"": 150}, {""code"": ""    ? ("", ""desc"": ""apply-patch.ts 第 281 行处的条件分支（三元运算符真值侧）承接 resolvePatchPath 返回的 target，依据操作类型将路径路由至含 assertNoPathAliasEscape 调用的沙箱边界断言子流程，构成从路径解析层流向沙箱校验层的衔接节点。此处决定了悬空符号链接路径能否到达下游的 fail-open 边界检查。"", ""file"": ""src/agents/apply-patch.ts"", ""line"": 281}, {""code"": ""  await assertNoPathAliasEscape({"", ""desc"": ""随后，sandbox-paths.ts 第 72 行调用 assertNoPathAliasEscape，传入 target 路径以启动逐跳符号链接展开与沙箱根边界对比。assertNoPathAliasEscape 是沙箱边界校验的核心门卫函数，在漏洞链路中负责对路径中每个符号链接节点调用 resolveSymlinkHopPath；但其内部 fail-open 回退行为使悬空符号链接能够绕过此处校验而未被拒绝。"", ""file"": ""src/agents/sandbox-paths.ts"", ""line"": 72}, {""code"": ""    const linkCanonical = await resolveSymlinkHopPath(lexicalCursor);"", ""desc"": ""在调用链末端，assertNoPathAliasEscape 对 lexicalCursor 调用 resolveSymlinkHopPath，将悬空符号链接的解析请求送达最终执行点。resolveSymlinkHopPath 在 fs.realpath 返回 ENOENT 后以 readlink 词法路径回退填充 linkCanonical，isPathInside 随即以符号链接自身位置而非真实目标完成边界判定，触发 fail-open 误判，最终令 writeFile 沿悬空链接写入沙箱外路径。"", ""file"": ""src/infra/boundary-path.ts"", ""line"": 196}]",,,,"[{""file"": ""src/agents/apply-patch.ts"", ""line"": 94, ""code"": ""    execute: async (_toolCallId, args, signal) => {"", ""desc"": ""?????? patch ???????? hunk path ?? apply_patch ???""}, {""file"": ""src/agents/apply-patch.ts"", ""line"": ""149-153"", ""code"": ""    if (hunk.kind === \""add\"") {\n      const target = await resolvePatchPath(hunk.path, options);\n      await ensureDir(target.resolved, fileOps);\n      await fileOps.writeFile(target.resolved, hunk.contents);\n      recordSummary(summary, seen, \""added\"", target.display);"", ""desc"": ""Add File hunk ? hunk.path ?? resolvePatchPath???????? fileOps.writeFile ?? target.resolved?""}, {""file"": ""src/agents/apply-patch.ts"", ""line"": ""279-290"", ""code"": ""  const workspaceOnly = options.workspaceOnly !== false;\n  const resolved = workspaceOnly\n    ? (\n        await assertSandboxPath({\n          filePath,\n          cwd: options.cwd,\n          root: options.cwd,\n          allowFinalSymlinkForUnlink: aliasPolicy.allowFinalSymlinkForUnlink,\n          allowFinalHardlinkForUnlink: aliasPolicy.allowFinalHardlinkForUnlink,\n        })\n      ).resolved\n    : resolvePathFromCwd(filePath, options.cwd);"", ""desc"": ""workspaceOnly ????resolvePatchPath ????? assertSandboxPath ??????????????""}, {""file"": ""src/agents/sandbox-paths.ts"", ""line"": ""72-77"", ""code"": ""  await assertNoPathAliasEscape({\n    absolutePath: resolved.resolved,\n    rootPath: params.root,\n    boundaryLabel: \""sandbox root\"",\n    policy,\n  });"", ""desc"": ""assertSandboxPath ???? assertNoPathAliasEscape?????????????????????? sandbox root?""}, {""file"": ""src/infra/boundary-path.ts"", ""line"": ""196-205"", ""code"": ""    const linkCanonical = await resolveSymlinkHopPath(lexicalCursor);\n    if (!isPathInside(params.rootCanonicalPath, linkCanonical)) {\n      throw symlinkEscapeError({\n        boundaryLabel: params.params.boundaryLabel,\n        rootCanonicalPath: params.rootCanonicalPath,\n        symlinkPath: lexicalCursor,\n      });\n    }\n    canonicalCursor = linkCanonical;\n    lexicalCursor = linkCanonical;"", ""desc"": ""??????????? resolveSymlinkHopPath ?? isPathInside ??????????????????????????????????????""}, {""file"": ""src/agents/apply-patch.ts"", ""line"": ""238-240"", ""code"": ""  return {\n    readFile: (filePath) => fs.readFile(filePath, \""utf8\""),\n    writeFile: (filePath, content) => fs.writeFile(filePath, content, \""utf8\""),"", ""desc"": ""?????????????? target.resolved ?? fs.writeFile??????????????????????????""}]",,?????????????? Add File ? fs.writeFile ??????
entry-00320,entry_point,src/backend/base/langflow/api/v2/files.py,163-166,"        try:
            root_filename, file_extension = new_filename.rsplit(""."", 1)
        except ValueError:
            root_filename, file_extension = new_filename, """"","rsplit('.', 1) 对 new_filename 执行基于最后一个点号的拆分，将结果分别赋给 root_filename 和 file_extension 两个变量。此操作不对路径分隔符做任何识别或过滤，携带 ../ 等穿越片段的输入在拆分后仍完整保留在 root_filename 中。ValueError 分支进一步确保无扩展名的穿越字符串以原始形态通过。这一步是存储层写入穿越链路的起点，将用户可控的原始文件名首次转化为内部变量，为载荷向 unique_filename 及最终路径拼接的传播奠定基础。",src/backend/base/langflow/api/v2/files.py,133,"    file: Annotated[UploadFile, File(...)],",file: UploadFile ? POST /api/v2/files/ ? multipart ????????????? Content-Disposition??????????? file.filename ??????????????????????????????????,????? multipart UploadFile ????? file.filename ?????
